GameID,HomeScore,AwayScore,ScoreDiff,ScoreTotal
202007300NOP,104,106,2,210
202007300LAL,103,101,2,204
202007310BRK,118,128,10,246
202007310POR,140,135,5,275
202007310WAS,112,125,13,237
202007310MIL,119,112,7,231
202007310SAS,129,120,9,249
202007310DAL,149,153,4,302
202008010DEN,105,125,20,230
202008010OKC,110,94,16,204
202008010LAC,126,103,23,229
202008010IND,127,121,6,248
202008010TOR,107,92,15,199
202008020BRK,118,110,8,228
202008020BOS,128,124,4,252
202008020MEM,106,108,2,214
202008020ORL,132,116,16,248
202008020HOU,120,116,4,236
202008020PHO,117,115,2,232
202008030MIA,103,107,4,210
202008030OKC,113,121,8,234
202008030WAS,100,111,11,211
202008030NOP,109,99,10,208
202008030PHI,132,130,2,262
202008030UTA,108,116,8,224
202008040MIL,116,119,3,235
202008040SAC,110,114,4,224
202008040LAC,115,117,2,232
202008040IND,120,109,11,229
202008040MIA,112,106,6,218
202008040POR,110,102,8,212
202008050UTA,124,115,9,239
202008050SAS,126,132,6,258
202008050WAS,98,107,9,205
202008050LAL,86,105,19,191
202008050ORL,99,109,10,208
202008050BOS,149,115,34,264
202008060SAC,140,125,15,265
202008060MIL,130,116,14,246
202008060PHO,114,99,15,213
202008060DAL,111,126,15,237
202008060DEN,115,125,10,240
202008060HOU,113,97,16,210
202008070SAS,119,111,8,230
202008070MEM,121,92,29,213
202008070BRK,119,106,13,225
202008070PHI,108,101,7,209
202008070NOP,118,107,11,225
202008070TOR,100,122,22,222
202008080POR,117,122,5,239
202008080DEN,134,132,2,266
202008080IND,116,111,5,227
202008080MIA,112,119,7,231
202008080DAL,136,132,4,268
202008090OKC,121,103,18,224
202008090TOR,108,99,9,207
202008090NOP,113,122,9,235
202008090BOS,122,119,3,241
202008090POR,124,121,3,245
202008090SAC,112,129,17,241
202008090LAC,120,129,9,249
202008100PHO,128,101,27,229
202008100UTA,114,122,8,236
202008100MIL,106,114,8,220
202008100MIA,114,92,22,206
202008100LAL,124,121,3,245
202008110ORL,96,108,12,204
202008110SAS,123,105,18,228
202008110PHI,117,130,13,247
202008110MEM,107,122,15,229
202008110DAL,131,134,3,265
202008110SAC,112,106,6,218
202008110WAS,113,126,13,239
202008120HOU,104,108,4,212
202008120PHI,121,125,4,246
202008120OKC,116,115,1,231
202008120DEN,111,124,13,235
202008130BOS,90,96,6,186
202008130LAL,122,136,14,258
202008130MEM,119,106,13,225
202008130PHO,128,102,26,230
202008130UTA,118,112,6,230
202008130BRK,133,134,1,267
202008130ORL,133,127,6,260
202008140TOR,117,109,8,226
202008140IND,109,92,17,201
202008140LAC,107,103,4,210
202008140HOU,96,134,38,230
202008150POR,126,122,4,248
202008170DEN,135,125,10,260
202008170TOR,134,110,24,244
202008170BOS,109,101,8,210
202008170LAC,118,110,8,228
202008180MIL,110,122,12,232
202008180IND,101,113,12,214
202008180HOU,123,108,15,231
202008180LAL,93,100,7,193
202008190TOR,104,99,5,203
202008190DEN,105,124,19,229
202008190BOS,128,101,27,229
202008190LAC,114,127,13,241
202008200IND,100,109,9,209
202008200HOU,111,98,13,209
202008200MIL,111,96,15,207
202008200LAL,111,88,23,199
202008210BRK,92,117,25,209
202008210UTA,124,87,37,211
202008210PHI,94,102,8,196
202008210DAL,122,130,8,252
202008220ORL,107,121,14,228
202008220MIA,124,115,9,239
202008220OKC,119,107,12,226
202008220POR,108,116,8,224
202008230PHI,106,110,4,216
202008230DAL,135,133,2,268
202008230BRK,122,150,28,272
202008230UTA,129,127,2,256
202008240ORL,106,121,15,227
202008240OKC,117,114,3,231
202008240MIA,99,87,12,186
202008240POR,115,135,20,250
202008250DEN,117,107,10,224
202008250LAC,154,111,43,265
202008290MIL,118,104,14,222
202008290HOU,114,80,34,194
202008290LAL,131,122,9,253
202008300TOR,94,112,18,206
202008300DAL,97,111,14,208
202008300UTA,107,119,12,226
202008310MIL,104,115,11,219
202008310OKC,104,100,4,204
202009010TOR,99,102,3,201
202009010DEN,80,78,2,158
202009020MIL,114,116,2,230
202009020HOU,104,102,2,206
202009030BOS,103,104,1,207
202009030LAC,120,97,23,217
202009040MIA,115,100,15,215
202009040LAL,97,112,15,209
202009050BOS,93,100,7,193
202009050LAC,101,110,9,211
202009060MIA,115,118,3,233
202009060LAL,117,109,8,226
202009070TOR,89,111,22,200
202009070DEN,107,113,6,220
202009080MIL,94,103,9,197
202009080HOU,102,112,10,214
202009090BOS,122,125,3,247
202009090DEN,85,96,11,181
202009100HOU,100,110,10,210
202009110LAC,105,111,6,216
202009110TOR,87,92,5,179
202009120LAL,119,96,23,215
202009130DEN,111,98,13,209
202009150BOS,114,117,3,231
202009150LAC,89,104,15,193
202009170BOS,101,106,5,207
202009180LAL,126,114,12,240
202009190MIA,106,117,11,223
202009200LAL,105,103,2,208
202009220DEN,114,106,8,220
202009230MIA,112,109,3,221
202009240DEN,108,114,6,222
202009250BOS,121,108,13,229
202009260LAL,117,107,10,224
202009270MIA,125,113,12,238
202009300LAL,116,98,18,214
202010020LAL,124,114,10,238
202010040MIA,115,104,11,219
202010060MIA,96,102,6,198
202010090LAL,108,111,3,219
202010110MIA,93,106,13,199
