GameID,Year,LeadChanges
202007300NOP,2019-20,4
202007300LAL,2019-20,7
202007310BRK,2019-20,9
202007310POR,2019-20,15
202007310WAS,2019-20,9
202007310MIL,2019-20,7
202007310SAS,2019-20,18
202007310DAL,2019-20,7
202008010DEN,2019-20,10
202008010OKC,2019-20,1
202008010LAC,2019-20,0
202008010IND,2019-20,10
202008010TOR,2019-20,10
202008020BRK,2019-20,16
202008020BOS,2019-20,12
202008020MEM,2019-20,13
202008020ORL,2019-20,1
202008020HOU,2019-20,12
202008020PHO,2019-20,6
202008030MIA,2019-20,13
202008030OKC,2019-20,22
202008030WAS,2019-20,10
202008030NOP,2019-20,3
202008030PHI,2019-20,8
202008030UTA,2019-20,9
202008040MIL,2019-20,10
202008040SAC,2019-20,6
202008040LAC,2019-20,10
202008040IND,2019-20,1
202008040MIA,2019-20,0
202008040POR,2019-20,2
202008050UTA,2019-20,6
202008050SAS,2019-20,11
202008050WAS,2019-20,6
202008050LAL,2019-20,0
202008050ORL,2019-20,0
202008050BOS,2019-20,9
202008060SAC,2019-20,4
202008060MIL,2019-20,10
202008060PHO,2019-20,6
202008060DAL,2019-20,13
202008060DEN,2019-20,12
202008060HOU,2019-20,9
202008070SAS,2019-20,2
202008070MEM,2019-20,6
202008070BRK,2019-20,8
202008070PHI,2019-20,8
202008070NOP,2019-20,8
202008070TOR,2019-20,1
202008080POR,2019-20,10
202008080DEN,2019-20,5
202008080IND,2019-20,18
202008080MIA,2019-20,11
202008080DAL,2019-20,9
202008090OKC,2019-20,0
202008090TOR,2019-20,4
202008090NOP,2019-20,3
202008090BOS,2019-20,17
202008090POR,2019-20,6
202008090SAC,2019-20,3
202008090LAC,2019-20,0
202008100PHO,2019-20,1
202008100UTA,2019-20,9
202008100MIL,2019-20,4
202008100MIA,2019-20,3
202008100LAL,2019-20,16
202008110ORL,2019-20,3
202008110SAS,2019-20,3
202008110PHI,2019-20,13
202008110MEM,2019-20,2
202008110DAL,2019-20,10
202008110SAC,2019-20,23
202008110WAS,2019-20,1
202008120HOU,2019-20,12
202008120PHI,2019-20,22
202008120OKC,2019-20,5
202008120DEN,2019-20,15
202008130BOS,2019-20,14
202008130LAL,2019-20,4
202008130MEM,2019-20,1
202008130PHO,2019-20,4
202008130UTA,2019-20,2
202008130BRK,2019-20,19
202008130ORL,2019-20,5
202008140TOR,2019-20,6
202008140IND,2019-20,2
202008140LAC,2019-20,20
202008140HOU,2019-20,5
202008150POR,2019-20,7
202008170DEN,2019-20,20
202008170TOR,2019-20,0
202008170BOS,2019-20,14
202008170LAC,2019-20,6
202008180MIL,2019-20,3
202008180IND,2019-20,4
202008180HOU,2019-20,3
202008180LAL,2019-20,7
202008190TOR,2019-20,5
202008190DEN,2019-20,5
202008190BOS,2019-20,3
202008190LAC,2019-20,1
202008200IND,2019-20,8
202008200HOU,2019-20,15
202008200MIL,2019-20,2
202008200LAL,2019-20,2
202008210BRK,2019-20,1
202008210UTA,2019-20,3
202008210PHI,2019-20,11
202008210DAL,2019-20,6
202008220ORL,2019-20,8
202008220MIA,2019-20,5
202008220OKC,2019-20,6
202008220POR,2019-20,3
202008230PHI,2019-20,12
202008230DAL,2019-20,13
202008230BRK,2019-20,11
202008230UTA,2019-20,13
202008240ORL,2019-20,13
202008240OKC,2019-20,19
202008240MIA,2019-20,10
202008240POR,2019-20,1
202008250DEN,2019-20,13
202008250LAC,2019-20,2
202008290MIL,2019-20,4
202008290HOU,2019-20,2
202008290LAL,2019-20,10
202008300TOR,2019-20,1
202008300DAL,2019-20,6
202008300UTA,2019-20,2
202008310MIL,2019-20,4
202008310OKC,2019-20,15
202009010TOR,2019-20,19
202009010DEN,2019-20,3
202009020MIL,2019-20,7
202009020HOU,2019-20,15
202009030BOS,2019-20,17
202009030LAC,2019-20,11
202009040MIA,2019-20,10
202009040LAL,2019-20,3
202009050BOS,2019-20,4
202009050LAC,2019-20,0
202009060MIA,2019-20,12
202009060LAL,2019-20,5
202009070TOR,2019-20,1
202009070DEN,2019-20,12
202009080MIL,2019-20,2
202009080HOU,2019-20,16
202009090BOS,2019-20,10
202009090DEN,2019-20,0
202009100HOU,2019-20,0
202009110LAC,2019-20,2
202009110TOR,2019-20,12
202009120LAL,2019-20,1
202009130DEN,2019-20,2
202009150BOS,2019-20,13
202009150LAC,2019-20,6
202009170BOS,2019-20,14
202009180LAL,2019-20,5
202009190MIA,2019-20,1
202009200LAL,2019-20,9
202009220DEN,2019-20,4
202009230MIA,2019-20,8
202009240DEN,2019-20,5
202009250BOS,2019-20,1
202009260LAL,2019-20,12
202009270MIA,2019-20,14
202009300LAL,2019-20,4
202010020LAL,2019-20,4
202010040MIA,2019-20,8
202010060MIA,2019-20,9
202010090LAL,2019-20,16
