GameID,HomeScore,AwayScore,ScoreDiff,ScoreTotal
0020900078,87,72,15,159
0020900699,83,79,4,162
0020901162,89,108,19,197
0020900149,115,113,2,228
0020901090,110,103,7,213
0020900360,99,118,19,217
0020900134,80,74,6,154
0020900007,91,101,10,192
0020900759,97,104,7,201
0020900509,108,103,5,211
0020900214,99,102,3,201
0020900899,93,112,19,205
0020901207,104,96,8,200
0020900324,91,96,5,187
0020900793,109,102,7,211
0020900913,116,108,8,224
0020900314,85,95,10,180
0020901093,111,105,6,216
0020900093,102,90,12,192
0020900196,91,117,26,208
0020900683,108,106,2,214
0020900865,92,109,17,201
0020900144,101,93,8,194
0020900191,78,106,28,184
0020900371,86,104,18,190
0020901068,103,74,29,177
0020900402,102,98,4,200
0020900141,125,129,4,254
0020900077,88,96,8,184
0020901017,80,93,13,173
0020900292,101,86,15,187
0020901074,98,105,7,203
0020900783,85,108,23,193
0020900236,100,98,2,198
0020900194,88,104,16,192
0020900824,105,114,9,219
0020901188,102,115,13,217
0020900535,111,93,18,204
0020900997,94,99,5,193
0020900875,110,91,19,201
0020900143,95,90,5,185
0020900344,98,106,8,204
0020900725,109,97,12,206
0020900674,106,104,2,210
0020900301,88,94,6,182
0020901035,86,106,20,192
0020900029,98,111,13,209
0020900967,95,108,13,203
0020900995,124,121,3,245
0020900532,104,94,10,198
0020900671,90,105,15,195
0020900399,94,98,4,192
0020901039,102,89,13,191
0020900299,101,104,3,205
0020901226,113,131,18,244
0020900084,84,96,12,180
0020901043,109,93,16,202
0020900411,85,81,4,166
0020900686,97,104,7,201
0020900595,92,97,5,189
0020900560,93,92,1,185
0020900435,112,97,15,209
0020901007,97,108,11,205
0020900043,123,133,10,256
0020900562,94,108,14,202
0020900460,121,110,11,231
0020900361,108,101,7,209
0020900825,101,109,8,210
0020900960,87,97,10,184
0020900209,73,86,13,159
0020900962,82,111,29,193
0020901133,85,91,6,176
0020900156,101,87,14,188
0020900717,97,119,22,216
0020900571,76,92,16,168
0020900090,104,99,5,203
0020900859,126,118,8,244
0020900841,99,98,1,197
0020900377,94,107,13,201
0020900697,89,114,25,203
0020900129,86,78,8,164
0020900944,131,135,4,266
0020901186,83,77,6,160
0020900760,109,101,8,210
0020900394,96,102,6,198
0020900503,122,123,1,245
0020900479,111,122,11,233
0020900491,86,91,5,177
0020900398,95,102,7,197
0020900956,97,108,11,205
0020900781,103,94,9,197
0020901116,96,91,5,187
0020900235,95,111,16,206
0020900163,95,109,14,204
0020900316,77,101,24,178
0020900165,85,99,14,184
0020900937,83,86,3,169
0020901168,96,113,17,209
0020900270,96,114,18,210
0020900931,85,92,7,177
0020901140,98,87,11,185
0020900364,120,95,25,215
0020900700,102,117,15,219
0020901143,102,133,31,235
0020901048,99,115,16,214
0020901105,89,107,18,196
0020900787,104,95,9,199
0020900437,112,103,9,215
0020900917,96,102,6,198
0020900623,84,100,16,184
0020900370,89,98,9,187
0020900408,81,88,7,169
0020900312,95,117,22,212
0020900037,94,113,19,207
0020900323,106,93,13,199
0020900311,105,89,16,194
0020900278,89,98,9,187
0020900750,99,82,17,181
0020900140,87,97,10,184
0020901192,104,85,19,189
0020900198,105,116,11,221
0020901142,100,81,19,181
0020900404,109,91,18,200
0020900806,97,107,10,204
0020900264,85,92,7,177
0020900170,103,110,7,213
0020900517,93,97,4,190
0020900022,90,118,28,208
0020900266,106,117,11,223
0020900294,115,102,13,217
0020900811,101,107,6,208
0020900554,99,90,9,189
0020900596,94,91,3,185
0020900252,107,126,19,233
0020900965,100,95,5,195
0020901111,109,104,5,213
0020901223,103,98,5,201
0020900288,89,90,1,179
0020900521,89,91,2,180
0020900500,104,97,7,201
0020900291,97,106,9,203
0020900999,88,76,12,164
0020901069,99,93,6,192
0020900842,104,102,2,206
0020900386,112,107,5,219
0020900581,113,104,9,217
0020900172,93,108,15,201
0020900998,113,101,12,214
0020900055,104,96,8,200
0020900742,105,99,6,204
0020901041,92,99,7,191
0020900741,104,99,5,203
0020900637,107,97,10,204
0020900869,90,99,9,189
0020900727,97,99,2,196
0020900413,108,111,3,219
0020900523,99,103,4,202
0020900896,106,110,4,216
0020900612,94,93,1,187
0020900481,96,103,7,199
0020900066,103,102,1,205
0020900915,92,99,7,191
0020901055,104,109,5,213
0020901025,100,110,10,210
0020901063,101,86,15,187
0020901198,86,114,28,200
0020900429,101,106,5,207
0020901221,123,115,8,238
0020900071,99,113,14,212
0020900021,89,100,11,189
0020900238,130,97,33,227
0020901119,104,128,24,232
0020900900,90,117,27,207
0020900942,101,107,6,208
0020900342,102,89,13,191
0020900991,94,84,10,178
0020900406,98,105,7,203
0020900695,103,89,14,192
0020900199,98,112,14,210
0020900980,108,116,8,224
0020900171,90,83,7,173
0020900770,93,104,11,197
0020900733,87,96,9,183
0020900684,84,101,17,185
0020901126,88,93,5,181
0020900766,91,127,36,218
0020900389,90,95,5,185
0020900047,111,117,6,228
0020900558,82,94,12,176
0020900724,101,110,9,211
0020900045,110,118,8,228
0020900846,101,87,14,188
0020900798,98,90,8,188
0020900341,118,90,28,208
0020900230,125,128,3,253
0020900287,107,115,8,222
0020900218,83,93,10,176
0020901193,126,108,18,234
0020900702,91,112,21,203
0020901125,119,114,5,233
0020900115,102,108,6,210
0020901130,117,128,11,245
0020900955,115,104,11,219
0020900330,103,106,3,209
0020900188,84,106,22,190
0020900848,110,120,10,230
0020900670,97,92,5,189
0020900940,95,97,2,192
0020900569,96,83,13,179
0020900809,100,94,6,194
0020900031,94,80,14,174
0020901094,92,87,5,179
0020900441,80,114,34,194
0020900929,102,92,10,194
0020900279,105,87,18,192
0020901031,100,90,10,190
0020900495,98,85,13,183
0020900349,110,108,2,218
0020900092,81,88,7,169
0020900315,106,118,12,224
0020901019,115,89,26,204
0020900816,104,109,5,213
0020900466,98,116,18,214
0020900843,101,89,12,190
0020900237,92,108,16,200
0020900970,103,85,18,188
0020901029,98,84,14,182
0020900547,87,120,33,207
0020900026,104,87,17,191
0020900025,107,115,8,222
0020900216,104,118,14,222
0020900661,114,109,5,223
0020900888,126,105,21,231
0020900132,104,89,15,193
0020900575,104,110,6,214
0020900722,102,107,5,209
0020900192,104,96,8,200
0020900211,99,98,1,197
0020900353,95,115,20,210
0020900333,106,80,26,186
0020901040,79,104,25,183
0020900321,96,91,5,187
0020901127,109,94,15,203
0020900091,110,113,3,223
0020900273,114,107,7,221
0020900901,80,104,24,184
0020900698,91,86,5,177
0020900773,107,87,20,194
0020900745,91,95,4,186
0020900190,97,100,3,197
0020900348,93,102,9,195
0020901015,93,101,8,194
0020900797,127,99,28,226
0020900746,102,109,7,211
0020900620,97,104,7,201
0020900220,93,76,17,169
0020900310,90,86,4,176
0020900414,87,102,15,189
0020901095,94,73,21,167
0020900694,103,96,7,199
0020900457,99,117,18,216
0020901061,113,87,26,200
0020901051,102,85,17,187
0020900359,98,101,3,199
0020900882,99,119,20,218
0020901010,84,110,26,194
0020900179,102,104,2,206
0020900193,107,105,2,212
0020900739,114,102,12,216
0020901217,83,99,16,182
0020900994,89,112,23,201
0020900249,97,99,2,196
0020900329,92,104,12,196
0020901070,89,101,12,190
0020900033,79,90,11,169
0020901178,116,113,3,229
0020900452,95,84,11,179
0020900424,93,87,6,180
0020900169,81,87,6,168
0020900246,106,100,6,206
0020901172,94,116,22,210
0020900524,93,96,3,189
0020900048,113,96,17,209
0020901166,94,121,27,215
0020900167,91,104,13,195
0020901060,82,99,17,181
0020900573,101,102,1,203
0020900210,110,113,3,223
0020901018,102,106,4,208
0020900073,86,102,16,188
0020900168,94,99,5,193
0020900827,109,107,2,216
0020900820,125,115,10,240
0020900691,96,106,10,202
0020900685,100,104,4,204
0020901101,98,103,5,201
0020901088,103,108,5,211
0020900861,111,103,8,214
0020900719,103,106,3,209
0020900117,102,93,9,195
0020900229,92,84,8,176
0020900873,90,100,10,190
0020900889,116,92,24,208
0020900735,81,91,10,172
0020900397,102,95,7,197
0020900650,89,95,6,184
0020900006,106,120,14,226
0020900490,89,132,43,221
0020900327,113,96,17,209
0020900904,87,100,13,187
0020900480,97,86,11,183
0020900260,90,107,17,197
0020900416,70,80,10,150
0020900430,110,98,12,208
0020900139,88,94,6,182
0020900659,105,132,27,237
0020901096,121,103,18,224
0020900876,110,133,23,243
0020900912,111,114,3,225
0020901121,92,109,17,201
0020901103,111,93,18,204
0020901176,101,107,6,208
0020900203,107,108,1,215
0020900872,94,71,23,165
0020901062,79,93,14,172
0020900302,89,98,9,187
0020900963,110,105,5,215
0020900111,86,105,19,191
0020900765,93,81,12,174
0020900124,72,88,16,160
0020900633,116,109,7,225
0020900018,97,94,3,191
0020900009,93,115,22,208
0020900585,101,96,5,197
0020900786,86,99,13,185
0020900365,87,95,8,182
0020900863,93,89,4,182
0020900215,130,99,31,229
0020900506,79,88,9,167
0020900504,109,105,4,214
0020900086,86,76,10,162
0020900542,106,94,12,200
0020900382,116,108,8,224
0020900485,128,103,25,231
0020900157,93,106,13,199
0020900221,86,105,19,191
0020900208,81,116,35,197
0020900176,103,105,2,208
0020900835,105,100,5,205
0020900358,97,110,13,207
0020900584,99,125,26,224
0020901135,88,96,8,184
0020900761,97,119,22,216
0020900577,121,105,16,226
0020900768,109,99,10,208
0020900738,117,108,9,225
0020900470,94,97,3,191
0020900981,88,118,30,206
0020900959,87,96,9,183
0020901152,94,112,18,206
0020900451,99,103,4,202
0020901075,97,96,1,193
0020901123,105,96,9,201
0020900720,99,108,9,207
0020900060,100,122,22,222
0020900174,102,97,5,199
0020900075,94,97,3,191
0020900012,89,102,13,191
0020900363,107,106,1,213
0020900549,94,105,11,199
0020900492,108,105,3,213
0020900653,102,95,7,197
0020900747,102,95,7,197
0020900607,83,113,30,196
0020900656,115,124,9,239
0020901046,95,98,3,193
0020900906,109,112,3,221
0020900283,110,78,32,188
0020900433,89,101,12,190
0020900502,93,98,5,191
0020900076,110,103,7,213
0020901011,106,113,7,219
0020900587,90,94,4,184
0020901020,92,93,1,185
0020900101,105,146,41,251
0020900207,90,100,10,190
0020900642,94,127,33,221
0020901187,95,99,4,194
0020901091,94,97,3,191
0020900016,109,107,2,216
0020901047,106,100,6,206
0020900185,103,98,5,201
0020901215,100,106,6,206
0020900465,91,95,4,186
0020901199,111,98,13,209
0020900780,111,92,19,203
0020900709,92,104,12,196
0020900123,102,121,19,223
0020900788,87,109,22,196
0020900206,104,94,10,198
0020900421,104,124,20,228
0020900448,103,118,15,221
0020900794,99,108,9,207
0020900847,99,94,5,193
0020900175,113,120,7,233
0020901191,105,90,15,195
0020900053,105,74,31,179
0020900583,87,102,15,189
0020900445,84,94,10,178
0020900801,110,92,18,202
0020900258,99,110,11,209
0020900552,117,114,3,231
0020900422,117,113,4,230
0020900498,108,113,5,221
0020900718,97,103,6,200
0020900635,115,104,11,219
0020900961,90,113,23,203
0020900930,112,98,14,210
0020900135,104,113,9,217
0020900015,108,107,1,215
0020900898,99,122,23,221
0020900130,100,109,9,209
0020900672,106,95,11,201
0020900102,112,84,28,196
0020900023,91,83,8,174
0020900295,88,108,20,196
0020900173,105,95,10,200
0020901034,102,97,5,199
0020900567,108,120,12,228
0020901073,97,106,9,203
0020901204,111,97,14,208
0020900758,92,94,2,186
0020900340,107,130,23,237
0020900814,100,89,11,189
0020900385,83,92,9,175
0020900338,100,120,20,220
0020900822,89,99,10,188
0020900257,107,100,7,207
0020901028,96,104,8,200
0020901030,71,77,6,148
0020901032,107,123,16,230
0020900949,132,108,24,240
0020900990,100,114,14,214
0020900594,91,99,8,190
0020900024,96,83,13,179
0020901169,93,85,8,178
0020900634,79,111,32,190
0020901139,90,98,8,188
0020900453,110,98,12,208
0020900468,116,106,10,222
0020900632,115,105,10,220
0020900782,105,78,27,183
0020900681,97,111,14,208
0020900598,98,101,3,199
0020900059,97,91,6,188
0020900732,92,91,1,183
0020900682,81,79,2,160
0020901177,106,96,10,202
0020900858,127,112,15,239
0020900975,110,94,16,204
0020900334,97,98,1,195
0020901128,96,107,11,203
0020901201,106,116,10,222
0020900600,103,108,5,211
0020900614,107,113,6,220
0020900081,94,105,11,199
0020900985,91,104,13,195
0020900105,90,89,1,179
0020900639,97,93,4,190
0020900951,81,88,7,169
0020901146,99,109,10,208
0020900319,111,120,9,231
0020900705,97,81,16,178
0020900222,87,94,7,181
0020900515,94,117,23,211
0020900234,92,76,16,168
0020900630,84,86,2,170
0020900178,108,127,19,235
0020901080,97,102,5,199
0020900543,77,95,18,172
0020900268,102,85,17,187
0020900803,87,86,1,173
0020900789,95,92,3,187
0020901132,128,123,5,251
0020901000,108,84,24,192
0020901005,92,100,8,192
0020900969,112,119,7,231
0020901122,86,87,1,173
0020900922,114,122,8,236
0020901012,94,107,13,201
0020900438,127,132,5,259
0020900458,118,124,6,242
0020901213,93,101,8,194
0020900005,109,120,11,229
0020900784,85,118,33,203
0020900454,104,87,17,191
0020900439,95,102,7,197
0020900357,88,95,7,183
0020900200,98,122,24,220
0020900224,100,86,14,186
0020900785,109,95,14,204
0020900484,97,103,6,200
0020900030,101,123,22,224
0020901174,103,118,15,221
0020900087,90,93,3,183
0020900442,95,88,7,183
0020900679,91,100,9,191
0020901144,92,107,15,199
0020900649,109,98,11,207
0020900446,105,89,16,194
0020900644,103,112,9,215
0020900142,101,98,3,199
0020900476,108,109,1,217
0020901185,107,99,8,206
0020900666,99,93,6,192
0020900568,115,102,13,217
0020901196,91,88,3,179
0020901120,97,82,15,179
0020900833,83,67,16,150
0020901118,90,118,28,208
0020901211,117,107,10,224
0020900964,98,106,8,204
0020900953,102,87,15,189
0020901115,99,108,9,207
0020900463,95,104,9,199
0020900775,85,93,8,178
0020900065,92,90,2,182
0020900401,99,104,5,203
0020900817,121,118,3,239
0020900927,113,93,20,206
0020900751,104,95,9,199
0020900336,99,105,6,204
0020901109,98,101,3,199
0020900815,96,76,20,172
0020900668,88,91,3,179
0020900631,96,94,2,190
0020901134,87,115,28,202
0020900663,95,109,14,204
0020900293,94,98,4,192
0020900778,102,132,30,234
0020900883,80,96,16,176
0020901209,101,123,22,224
0020900729,86,102,16,188
0020900941,98,99,1,197
0020901078,75,91,16,166
0020900832,95,101,6,196
0020900483,95,99,4,194
0020901076,86,94,8,180
0020901087,90,97,7,187
0020900286,80,75,5,155
0020900472,86,87,1,173
0020900318,104,102,2,206
0020900658,115,103,12,218
0020900525,112,103,9,215
0020901089,84,94,10,178
0020900182,99,106,7,205
0020900072,83,103,20,186
0020900790,94,104,10,198
0020900551,89,118,29,207
0020900356,104,116,12,220
0020900923,91,102,11,193
0020900921,100,108,8,208
0020901117,102,119,17,221
0020900731,83,107,24,190
0020900395,104,122,18,226
0020901021,88,92,4,180
0020901161,95,99,4,194
0020900056,81,83,2,164
0020900280,87,96,9,183
0020900412,99,108,9,207
0020900400,84,81,3,165
0020900647,92,78,14,170
0020900675,94,96,2,190
0020900121,104,124,20,228
0020900343,115,90,25,205
0020900723,103,99,4,202
0020900186,88,96,8,184
0020900147,95,99,4,194
0020900737,101,94,7,195
0020900265,97,95,2,192
0020900409,108,121,13,229
0020900838,106,110,4,216
0020900247,96,112,16,208
0020900120,83,79,4,162
0020900036,85,96,11,181
0020900580,115,106,9,221
0020900559,114,122,8,236
0020900973,87,95,8,182
0020900507,89,119,30,208
0020900701,115,111,4,226
0020900354,96,87,9,183
0020900044,112,120,8,232
0020900362,108,92,16,200
0020900655,93,104,11,197
0020900881,89,85,4,174
0020900744,92,99,7,191
0020900557,109,88,21,197
0020901016,108,102,6,210
0020900112,75,98,23,173
0020900673,123,110,13,233
0020900049,116,127,11,243
0020900574,119,121,2,240
0020900085,100,125,25,225
0020901107,92,109,17,201
0020900749,106,116,10,222
0020900001,95,89,6,184
0020901110,92,114,22,206
0020900892,92,116,24,208
0020900860,118,116,2,234
0020900593,112,119,7,231
0020900461,92,117,25,209
0020901155,113,103,10,216
0020900894,104,108,4,212
0020901108,84,103,19,187
0020900601,97,90,7,187
0020900355,96,107,11,203
0020900807,91,85,6,176
0020901160,88,90,2,178
0020901141,113,117,4,230
0020900367,101,111,10,212
0020900978,125,108,17,233
0020900290,72,88,16,160
0020900079,107,90,17,197
0020900467,99,103,4,202
0020900231,120,95,25,215
0020900948,96,88,8,184
0020900870,112,125,13,237
0020900664,118,96,22,214
0020900274,87,101,14,188
0020900392,95,121,26,216
0020900864,93,100,7,193
0020900267,105,110,5,215
0020900320,91,107,16,198
0020900388,103,84,19,187
0020900862,111,115,4,226
0020901170,101,112,11,213
0020900035,107,111,4,218
0020900226,104,96,8,200
0020900008,59,92,33,151
0020900475,106,94,12,200
0020900938,108,102,6,210
0020900868,99,103,4,202
0020901171,108,109,1,217
0020900704,99,88,11,187
0020901081,96,132,36,228
0020901167,84,110,26,194
0020900772,97,77,20,174
0020900387,98,101,3,199
0020900545,92,96,4,188
0020900626,112,88,24,200
0020901148,113,107,6,220
0020900657,98,97,1,195
0020900715,90,82,8,172
0020900434,91,98,7,189
0020900976,99,112,13,211
0020900678,99,91,8,190
0020901227,97,98,1,195
0020900418,109,97,12,206
0020901071,96,107,11,203
0020900261,104,118,14,222
0020900854,93,102,9,195
0020900276,82,98,16,180
0020900109,94,108,14,202
0020900928,122,116,6,238
0020900155,112,130,18,242
0020900020,86,99,13,185
0020900603,118,125,7,243
0020900095,93,116,23,209
0020901180,97,88,9,185
0020900563,109,108,1,217
0020900757,89,101,12,190
0020900853,95,106,11,201
0020900125,112,90,22,202
0020900850,110,92,18,202
0020900272,109,107,2,216
0020900415,94,64,30,158
0020900696,90,89,1,179
0020901219,98,89,9,187
0020900548,88,106,18,194
0020901183,91,96,5,187
0020900621,87,93,6,180
0020900423,117,104,13,221
0020900561,111,87,24,198
0020900711,89,105,16,194
0020900643,110,116,6,226
0020901106,94,98,4,192
0020900805,94,106,12,200
0020900187,106,113,7,219
0020900384,110,102,8,212
0020900878,110,113,3,223
0020900874,120,109,11,229
0020900926,94,100,6,194
0020900153,102,110,8,212
0020901138,98,107,9,205
0020900907,84,81,3,165
0020901205,105,95,10,200
0020901026,74,76,2,150
0020901014,121,131,10,252
0020900734,114,107,7,221
0020900513,92,112,20,204
0020900428,96,107,11,203
0020900127,97,86,11,183
0020900313,97,96,1,193
0020900849,95,115,20,210
0020900493,96,131,35,227
0020900622,85,105,20,190
0020901131,92,106,14,198
0020900013,96,113,17,209
0020900116,107,84,23,191
0020900250,102,104,2,206
0020900296,93,83,10,176
0020900943,125,112,13,237
0020900911,105,96,9,201
0020900070,86,85,1,171
0020900219,97,111,14,208
0020900455,95,104,9,199
0020900010,96,74,22,170
0020900804,93,110,17,203
0020900145,100,101,1,201
0020900304,109,111,2,220
0020900660,107,108,1,215
0020901054,98,83,15,181
0020900431,98,93,5,191
0020900097,88,104,16,192
0020900592,88,110,22,198
0020900989,98,109,11,207
0020900405,76,88,12,164
0020901165,98,94,4,192
0020900971,102,95,7,197
0020900474,112,108,4,220
0020900166,97,84,13,181
0020900212,98,88,10,186
0020900879,89,95,6,184
0020900309,102,91,11,193
0020900528,97,99,2,196
0020900728,105,118,13,223
0020900599,95,106,11,201
0020900743,106,113,7,219
0020900555,102,104,2,206
0020900710,79,98,19,177
0020900038,93,84,9,177
0020900478,107,97,10,204
0020901151,124,103,21,227
0020900610,98,109,11,207
0020900533,96,110,14,206
0020900829,104,108,4,212
0020901002,87,97,10,184
0020901195,98,92,6,190
0020900914,83,98,15,181
0020900494,75,92,17,167
0020901149,100,109,9,209
0020900337,94,102,8,196
0020900014,105,114,9,219
0020900254,106,102,4,208
0020900526,109,105,4,214
0020900693,84,95,11,179
0020901181,116,127,11,243
0020900540,84,94,10,178
0020900984,93,104,11,197
0020901158,105,113,8,218
0020900856,112,110,2,222
0020900546,102,96,6,198
0020900106,93,79,14,172
0020900459,101,106,5,207
0020900646,128,78,50,206
0020900052,111,93,18,204
0020900669,96,86,10,182
