GameID,Year,LeadChanges
0020900078,2009-10,1
0020900699,2009-10,8
0020901162,2009-10,13
0020900149,2009-10,7
0020901090,2009-10,6
0020900360,2009-10,5
0020900134,2009-10,5
0020900007,2009-10,1
0020900759,2009-10,2
0020900509,2009-10,5
0020900214,2009-10,13
0020900899,2009-10,4
0020901207,2009-10,5
0020900324,2009-10,15
0020900793,2009-10,11
0020900913,2009-10,4
0020900314,2009-10,3
0020901093,2009-10,9
0020900093,2009-10,8
0020900196,2009-10,3
0020900683,2009-10,21
0020900865,2009-10,1
0020900144,2009-10,25
0020900191,2009-10,7
0020900371,2009-10,2
0020901068,2009-10,3
0020900402,2009-10,4
0020900141,2009-10,13
0020900077,2009-10,2
0020901017,2009-10,2
0020900292,2009-10,1
0020901074,2009-10,13
0020900783,2009-10,10
0020900236,2009-10,7
0020900194,2009-10,3
0020900824,2009-10,0
0020901188,2009-10,6
0020900535,2009-10,3
0020900997,2009-10,3
0020900875,2009-10,1
0020900143,2009-10,12
0020900344,2009-10,13
0020900725,2009-10,5
0020900674,2009-10,16
0020900301,2009-10,9
0020901035,2009-10,0
0020900029,2009-10,14
0020900967,2009-10,4
0020900995,2009-10,7
0020900532,2009-10,2
0020900671,2009-10,1
0020900399,2009-10,10
0020901039,2009-10,7
0020900299,2009-10,11
0020901226,2009-10,8
0020900084,2009-10,0
0020901043,2009-10,11
0020900411,2009-10,12
0020900686,2009-10,3
0020900595,2009-10,8
0020900560,2009-10,9
0020900435,2009-10,0
0020901007,2009-10,3
0020900043,2009-10,6
0020900562,2009-10,6
0020900460,2009-10,1
0020900361,2009-10,12
0020900825,2009-10,11
0020900960,2009-10,0
0020900209,2009-10,4
0020900962,2009-10,0
0020901133,2009-10,12
0020900156,2009-10,9
0020900717,2009-10,1
0020900571,2009-10,16
0020900090,2009-10,5
0020900859,2009-10,22
0020900841,2009-10,2
0020900377,2009-10,3
0020900697,2009-10,0
0020900129,2009-10,5
0020900944,2009-10,21
0020901186,2009-10,11
0020900760,2009-10,16
0020900394,2009-10,3
0020900503,2009-10,16
0020900479,2009-10,4
0020900491,2009-10,4
0020900398,2009-10,8
0020900956,2009-10,0
0020900781,2009-10,1
0020901116,2009-10,2
0020900235,2009-10,5
0020900163,2009-10,8
0020900316,2009-10,8
0020900165,2009-10,2
0020900937,2009-10,6
0020901168,2009-10,0
0020900270,2009-10,6
0020900931,2009-10,2
0020901140,2009-10,17
0020900364,2009-10,12
0020900700,2009-10,1
0020901143,2009-10,6
0020901048,2009-10,2
0020901105,2009-10,8
0020900787,2009-10,13
0020900437,2009-10,18
0020900917,2009-10,15
0020900623,2009-10,4
0020900370,2009-10,8
0020900408,2009-10,0
0020900312,2009-10,10
0020900037,2009-10,4
0020900323,2009-10,1
0020900311,2009-10,4
0020900278,2009-10,13
0020900750,2009-10,9
0020900140,2009-10,11
0020901192,2009-10,7
0020900198,2009-10,1
0020901142,2009-10,5
0020900404,2009-10,18
0020900806,2009-10,11
0020900264,2009-10,0
0020900170,2009-10,12
0020900517,2009-10,8
0020900022,2009-10,0
0020900266,2009-10,16
0020900294,2009-10,3
0020900811,2009-10,5
0020900554,2009-10,5
0020900596,2009-10,4
0020900252,2009-10,3
0020900965,2009-10,15
0020901111,2009-10,26
0020901223,2009-10,4
0020900288,2009-10,29
0020900521,2009-10,2
0020900500,2009-10,9
0020900291,2009-10,17
0020900999,2009-10,1
0020901069,2009-10,16
0020900842,2009-10,18
0020900386,2009-10,6
0020900581,2009-10,6
0020900172,2009-10,3
0020900998,2009-10,11
0020900055,2009-10,6
